ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-01,01.1-NM,"Mua 10 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (lÇn 1 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",331,,8820000,0
2019-01-01,01.2-NM,"Mua 10 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (lÇn 1 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",331,,8820000,0
2019-01-01,01.1-XM,"XuÊt dïng 02 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (BN: Vâ V¨n Cani, MS: 59994) - K.NTQ",6211,,0,1764000
2019-01-01,01.2-XM,"XuÊt dïng 02 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (BN: Dïi ThÞ TuyÕt Hång, MS: 66440) - K.NTQ",6211,,0,1764000
2019-01-01,01.3-XM,"XuÊt dïng 01 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm A (BN: §inh NguyÔn Th¸i Th«ng, MS: 82438) - K.NTQ",6211,,0,882000
2019-01-01,01.4-XM,"XuÊt dïng 01 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm A (BN: Vâ Ngäc H©n, MS: 64157) - K.Nhi",6211,,0,882000
2019-01-01,01.5-XM,"XuÊt dïng 01 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (BN: NguyÔn V¨n T­, MS: 79148) - K.NgTN",6211,,0,882000
2019-01-02,01-NT,"NhËp thuèc (H§ 0073063 ngµy 27/12/2018, Bill 631105) - Cty y tÕ Hµ Néi",331,,67680000,0
2019-01-02,01-VT,"NhËp vËt t­ (H§ 0000257 ngµy 31/12/2018, Bill 630748, BN: Hå ThÞ NÐn, MS: 80519) - Cty ViÖt T­êng",331,,48060000,0
2019-01-02,02.5-XM,"XuÊt dïng 05 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O - BV Xuyªn ¸ Cñ Chi",1388,,0,4410000
2019-01-02,02-VT,"NhËp vËt t­ (H§ 0000256 ngµy 31/12/2018, Bill 631063, BN: D­¬ng ThÞ BÐ Lµnh, MS: 81997) - Cty ViÖt T­êng",331,,41310000,0
2019-01-02,02.1-NM,"Mua 03 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm A (lÇn 2 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",331,,2646000,0
2019-01-02,02.2-NM,"Mua 07 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (lÇn 2 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",331,,6174000,0
2019-01-02,02.3-NM,"Mua 10 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (lÇn 2 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",331,,8820000,0
2019-01-02,02.4-NM,"Mua 01 ®¬n vÞ Khèi tiÓu cÇu g¹n t¸ch 250ml (AmiCORE NAT), Nhãm O (lÇn 1 H§ 0002002 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",331,,3888000,0
2019-01-02,02.1-XM,"XuÊt dïng 02 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (BN: Tr­¬ng Th¸i T©m, MS: 65773) - K.NTQ",6211,,0,1764000
2019-01-02,02.2-XM,"XuÊt dïng 02 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (BN: Vâ V¨n Cani, MS: 59994) - K.NTQ",6211,,0,1764000
2019-01-02,02.3-XM,"XuÊt dïng 01 Khèi tiÓu cÇu g¹n t¸ch 250ml (AmiCORE NAT), nhãm O (BN: NguyÔn ThÞ G¸i, MS: 83013) - K.NTQ",6211,,0,3888000
2019-01-02,02.4-XM,"XuÊt dïng 01 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (BN: TrÇn D­¬ng Quèc Anh, MS: 70332) - K.UB",6211,,0,882000
2019-01-02,03-VT,"NhËp 19 c¸i thñy tinh thÓ (lÇn 1 H§ 0007102 ngµy 30/01/2019, lÇn 1 Bill 631539) - Cty T©m Hîp",331,,56620000,0
2019-01-02,03-VT.,NhËp 01 c¸i thñy tinh thÓ (lÇn 2 Bill 631539 ngµy 02/01/2019) - Cty T©m Hîp,331,,2980000,0
2019-01-02,04-VT,"NhËp vËt t­ (H§ 0002550 ngµy 31/12/2018, Bill 631690, BN: Lª V¨n Hoa, MS: 82620) - Cty Kim Hßa Ph¸t",331,,2250000,0
2019-01-02,05-VT,"NhËp vËt t­ (H§ 00001276 ngµy 31/12/2018, Bill 631759, BN: Lª V¨n Hoa, MS: 82620) - Cty Xu©n Vy",331,,29200000,0
2019-01-02,06-VT,"NhËp vËt t­ (H§ 0008578 ngµy 31/12/2018, Bill 631789, BN: Lª V¨n Hoa, MS: 82620) - Cty Phóc TÝn",331,,7900000,0
2019-01-02,07-VT,"NhËp vËt t­ (H§ 0014901 ngµy 26/12/2018, Bill 631976) - Cty Phan Anh",331,,130001,0
2019-01-02,08-VT,"NhËp vËt t­ (H§ 0011289 ngµy 29/12/2018, Bill 632469) - Cty Y Ph­¬ng",331,,5896800,0
2019-01-02,21-KTK,XuÊt thuèc cho BV Xuyªn ¸ Cñ Chi m­în (Bill 630865 ngµy 02/01/2019) - BV Xuyªn ¸ VÜnh Long,3388,,0,2016000
2019-01-03,02-NT,"NhËp thuèc (H§ 0008089 ngµy 02/01/2019, Bill 636468) - Cty T©n An",331,,7142100,0
2019-01-03,03.1-XM,"XuÊt dïng 01 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (BN: NguyÔn ThÞ LÖ, MS: 83137) - K.CTCH",6211,,0,882000
2019-01-03,03.2-XM,"XuÊt dïng 01 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (BN: §Æng Nam Ph­¬ng, MS: 83160) - K.Nhi",6211,,0,882000
2019-01-03,03.3-XM,"XuÊt dïng 02 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (BN: Ph¹m Thïy Trang, MS: 23051) - K.PM",6211,,0,1764000
