ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-01,01.1-NM,"Mua 10 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (lÇn 1 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",1521,,0,8820000
2019-01-01,01.2-NM,"Mua 10 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (lÇn 1 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",1521,,0,8820000
2019-01-01,02-KTK,TiÒn chi tr¶ hé 240 que thö thai (nhËp Nhµ thuèc BV.Xuyªn ¸ Cñ Chi) - Cty Hïng Ph­¬ng.,1388,,0,3094000
2019-01-02,01-NT,"NhËp thuèc (H§ 0073063 ngµy 27/12/2018, Bill 631105) - Cty y tÕ Hµ Néi",1521,,0,67680000
2019-01-02,01-VT,"NhËp vËt t­ (H§ 0000257 ngµy 31/12/2018, Bill 630748, BN: Hå ThÞ NÐn, MS: 80519) - Cty ViÖt T­êng",1522,,0,48060000
2019-01-02,02.1-NM,"Mua 03 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm A (lÇn 2 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",1521,,0,2646000
2019-01-02,02.2-NM,"Mua 07 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm B (lÇn 2 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",1521,,0,6174000
2019-01-02,02.3-NM,"Mua 10 ®¬n vÞ Khèi hång cÇu tõ 250 ml m¸u toµn phÇn, Nhãm O (lÇn 2 H§ 0002001 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",1521,,0,8820000
2019-01-02,02.4-NM,"Mua 01 ®¬n vÞ Khèi tiÓu cÇu g¹n t¸ch 250ml (AmiCORE NAT), Nhãm O (lÇn 1 H§ 0002002 ngµy 31/01/2019) - TT HuyÕt häc - TruyÒn m¸u TP.CÇn Th¬",1521,,0,3888000
2019-01-02,02-VT,"NhËp vËt t­ (H§ 0000256 ngµy 31/12/2018, Bill 631063, BN: D­¬ng ThÞ BÐ Lµnh, MS: 81997) - Cty ViÖt T­êng",1522,,0,41310000
