ngay,soctu,noidung,tkdung,dvtinh,nopsinh,copsinh
2019-01-17,08-TS,Cung cÊp 01 tñ b¶o qu¶n v¾c xin chuyªn dông H§ sè: 33/2019/H§MB/BVXA CNVL-MEDITOP ngµy 14/01/2019 (H§ 0000854 ngµy 17/01/2019) - Cty Meditop,331,,39000000,0
2019-04-25,02-TS,"Mua hÖ thèng ®iÒu trÞ laser trong lßng m¹ch, Model: NeoV1470 theo H§ vµ PLH§ sè: 012/2019/H§KT/§KXA-KHP ngµy 28/03/2019 (H§ 0003717 ngµy 25/04/2019) - Cty Kim Hßa Ph¸t",331,,1150000000,0
2019-04-29,03-TS,"Mua 02 bé trén khÝ thë nCPAP (dïng cho trÎ s¬ sinh vµ trÎ nhá), Model: medinBLENDER, MS: 1085_15 (H§ 0000591 ngµy 29/04/2019)- Cty §øc NguyÔn",331,,100000000,0
2019-06-27,06-TS,"Mua 01 m¸y siªu ©m x¸ch tay, Model: CTS-8800 Plus theo H§ sè: 24042019/CX-XUYENA ngµy 08/05/2019 (H§ 0000079 ngµy 27/06/2019)",331,,173000000,0
2019-08-06,01-TS,"Mua 04 bé m¸y Ðp h¬i ng¾t qu·ng VenaFlow Elite S, Model: VenaFlow Elite S theo H§ sè: 2019-31/HL-XuyenA/VenaFlow ngµy 17/05/2019 (H§ 0000686 ngµy 06/08/2019) - Cty Hîp Lùc",331,,252000000,0
2019-08-23,07-TS,Cung cÊp 02 tñ b¶o qu¶n v¾c xin chuyªn dông H§ sè: 477/2019/H§MB/BVXA CNVL-MEDITOP ngµy 20/08/2019 (H§ 0001428 ngµy 23/08/2019) - Cty Meditop,331,,78000000,0
2019-09-04,02-TS,Mua 02 bé Monitor theo dâi bÖnh nh©n + 06 bé m¸y ®o SPO2 theo H§ sè: 12/19/H§BV-PS ngµy 16/08/2019 (H§ 0000033 ngµy 04/09/2019) - Cty Phó Sü,331,,141400000,0
2019-09-13,04-TS,Mua 02 bé Bé KÝt ®o Etco2 cho m¸y Monitor theo dâi bÖnh nh©n + Airway adaptor theo H§ sè: 17/§D-BVXA/2019 ngµy 12/09/2019 (H§ 0000169 ngµy 13/09/2019) - Cty §«ng D­¬ng,331,,121200000,0
2019-10-22,03-TS,Mua 01 c¸i èng soi quang häc Hopkins (7230BWA) theo H§ sè: 289H§KT HK/2019 ngµy 21/10/2019 (H§ 0000248 ngµy 22/10/2019) - Cty H¶i Khoa,331,,86625000,0
2019-12-31,137-TH,NhËn Tæng hîp Gi¸ trÞ M¸y mãc thiÕt bÞ thuèc Dù ¸n ®Çu t­ BVXA VÜnh Long (Theo KiÓm to¸n),3388,,4253250000,0
2019-12-31,139-KTK,NhËn tµi s¶n lµ Gi¸ trÞ c«ng tßa nhµ BVXA VÜnh Long (®ît 2) n¨m 2019 thuéc Dù ¸n BVXA VÜnh Long,3388,,20688414163,0
